Description,Label
"Tmall Elf Sugar R is a smart speaker. Zhejiang Tmall Network Co., Ltd. Tmall Elf Sugar R smart speaker has an information disclosure vulnerability. Attackers can use this vulnerability to obtain sensitive information on the website.",esv
"SCX-8821 is a printer of Samsung (China) Investment Co., Ltd. Samsung (China) Investment Co., Ltd. SCX-8821 has an unauthorized access vulnerability, which can be exploited by attackers to obtain sensitive information.",esv
NA300 PLC is a medium-sized programmable controller. There is a loophole in the logic design of the NA300 PLC. An attacker can illegally read the PLC internal logic program by constructing a specific data packet,esv
"Xiamen Haiwei Technology Co., Ltd. is a high-tech enterprise integrating independent research and development, production, sales and service. Haiwell PLC has an authentication bypass vulnerability that can be exploited by unauthorized attackers to cause unauthorized access to the controller",esv
"The D-Link DIR-645 is a router device. The D-Link DIR-645 application does not properly restrict access to certain scripts, allowing an attacker to exploit a vulnerability to submit a malicious request for sensitive information. D-Link DIR-645 routers are prone to a remote authentication-bypass vulnerability. Remote attackers can exploit this issue to bypass the authentication mechanism and gain unauthorized access. D-Link DIR-645 running firmware prior to version 1.03 are vulnerable",esv
"Axis is an IT company that specializes in providing network video solutions. It is the global market leader in network video, driving the transition from analog to digital video surveillance. Axis' monitoring products and solutions are based on an open and innovative technology platform, dedicated to security monitoring and remote monitoring. AXIS Q1604 Network Camera has an unauthorized access vulnerability, which can be exploited by attackers to obtain sensitive information.",esv
The D-Link DAP-1360 is a router. D-LinkDAP-1360 has a cross-site request forgery vulnerability that can be exploited by remote attackers to perform elevated CSRF attacks by using domain names.,esv
Modicon M580 is a programmable logic controller introduced by Schneider Electric. Schneider Electric Modicon M580 has an information disclosure vulnerability. Attackers can use the vulnerability to obtain arbitrary memory data.,esv
"Matsushita Electric (China) Co., Ltd. is a manufacturer mainly responsible for the sales and after-sales service activities of home appliances, systems, environment, components and other commodities. Matsushita Electric (China) Co., Ltd. Network Camera WV-SF138 has an unauthorized access vulnerability, which can be exploited by attackers to obtain sensitive information.",esv
"CP1L is an Omron small PLC series, integrated PLC with built-in pulse output, analog input and output, and serial communication functions. Omron small PLC series CP1L has a denial of service vulnerability, which can be exploited by attackers to cause device connection interruption.",esv
