Name,Vuln ID,Published,Modified,Severity,Vuln Type,Vuln Descript,CVE ID
Links SSL证书安全漏洞,CNNVD-201206-468,2009-01-01,2012-06-28,,授权问题,Links是捷克软件开发者Mikulas Patocka所研发的一款开源的纯文字网页浏览器。 Links中存在安全漏洞，该漏洞源于未验证远程服务器提交的SSL证书。攻击者可利用该漏洞伪装一个合法的服务器使用中间人攻击或发起其他攻击，如钓鱼攻击。Links 2.2版本中存在漏洞，其他版本也可能受到影响。,null
Microsoft PowerPoint PP4X32.DLL库堆溢出漏洞,CNNVD-200905-152,2009-01-01,2009-05-15,超危,代码注入,Microsoft PowerPoint是美国微软（Microsoft）公司的Office套件中的一个文档演示工具。 PowerPoint的PP4X32.DLL库所提供的PowerPoint 4.0格式文件导入器中存在堆溢出漏洞。当PowerPoint从PowerPoint 4.0文件中读取声音数据时，如果文件中的结构数大于某个值的话就可能触发这个溢出，导致执行任意代码。,CVE-2009-0223
Apple Safari WebKit alink属性内存泄露拒绝服务漏洞,CNNVD-200901-016,2009-01-02,2009-01-10,中危,资源管理错误,Safari是苹果操作系统中所默认捆绑的WEB浏览器。 Safari所使用的WebKit(WebKit.dll)中存在内存泄露漏洞。如果用户受骗打开的HTML文档中BODY单元包含有超长的ALINK属性的话，就可以触发这个漏洞，导致浏览器由于内存耗尽而崩溃。,CVE-2008-5821
eDreamers eDContainer 脚本index.php 目录遍历漏洞,CNNVD-200901-013,2009-01-02,2009-01-29,中危,路径遍历,"eDreamers eDContainer 2.22版本中的index.php存在目录遍历漏洞。当magic_quotes_gpc被中止时，远程攻击者可以借助语言参数中的""..""，包含和运行任意的本地文件。",CVE-2008-5818
phpAlumni 'Acomment.php' SQL注入漏洞,CNNVD-200901-010,2009-01-02,2009-01-29,高危,SQL注入,PHP是服务器端脚本语言，特别适合于Web开发，可嵌入到HTML中，可以运行于Windows、Linux和许多Unix操作系统。 phpAlumni中的Acomment.php存在SQL注入漏洞。远程攻击者可以借助id参数，执行任意的SQL指令。,CVE-2008-5815
SPIP 多个未明漏洞,CNNVD-200901-008,2009-01-02,2009-01-05,超危,授权问题,SPIP是一个独立开发的CMS(内容管理系统)。 SPIP中存在多个未明漏洞。它们有未知影响和未明攻击向量。,CVE-2008-5812
Elecard MPEG Player M3U文件处理栈溢出漏洞,CNNVD-200902-238,2009-01-02,2009-02-10,超危,授权问题,Elecard MPEG Player是俄罗斯Elecard公司的一款流行的视频播放器。 如果用户受骗使用Elecard MPEG Player打开了畸形的M3U文件的话，就可以触发栈溢出，导致执行任意指令。,CVE-2009-0491
Mozilla Firefox 'Libxul'内存泄露漏洞,CNNVD-200901-017,2009-01-02,2009-01-05,中危,资源管理错误,Mozilla Firefox是一个自由的，开放源码的浏览器，适用于Windows、Linux 和 MacOS X平台。 Libxul中存在内存泄露漏洞。当其在Mozilla Firefox 3.0.5和其他产品中使用时，远程攻击者可以借助HTML文档中的HR元件里的一个长的CLASS属性，来引起拒绝服务攻击(内存损耗和浏览器中止)。,CVE-2008-5822
Elecard MPEG Player M3U文件处理栈溢出漏洞,CNNVD-200902-211,2009-01-02,2009-02-10,中危,授权问题,Elecard MPEG Player是俄罗斯Elecard公司的一款流行的视频播放器。 如果用户受骗使用Elecard MPEG Player打开了畸形的M3U文件的话，就可以触发栈溢出，导致执行任意指令。,CVE-2009-0443
Joomla! Pax Gallery 组件 'gid' 参数SQL注入漏洞,CNNVD-200901-007,2009-01-02,2009-02-26,高危,SQL注入,Joomla!是一款开放源码的内容管理系统(CMS)。 Joomla! PaxGallery(com_paxgallery)组件0.1版本中存在SQL注入漏洞。远程攻击者可以借助对index.php的制表操作中的gid参数，执行任意的SQL指令。,CVE-2008-5811
Web Scribble Solutions webClassifieds 'index.php' 多个SQL注入漏洞,CNNVD-200901-012,2009-01-02,2009-01-29,高危,SQL注入,Web Scribble Solutions webClassifieds 是基于PHP的网络应用解决方案。 Web Scribble Solutions webClassifieds 2005版本中的index.php存在多个SQL注入漏洞。远程攻击者可以借助sign_in操作中的用户和密码字段，来执行任意的SQL指令。,CVE-2008-5817
php 跨站脚本攻击漏洞,CNNVD-200901-009,2009-01-02,2009-06-09,中危,跨站脚本,PHP是服务器端脚本语言，特别适合于Web开发，可嵌入到HTML中，可以运行于Windows，Linux和许多Unix操作系统。 PHP5.2.7以及之前的版本中存在跨站脚本攻击漏洞。当display_errors被激活时，远程攻击者可以借助未明向量，注入任意的web脚本或HTML。,CVE-2008-5814
