Name,Vuln ID,Published,Modified,Severity,Vuln Type,Vuln Descript,CVE ID
Dell Secure Connect Gateway 加密问题漏洞,CNNVD-202403-016,2024-03-01,2024-03-11,低危,加密问题,Dell Secure Connect Gateway是美国戴尔（Dell）公司的一款安全连接网关。 Dell Secure Connect Gateway 5.18版本存在加密问题漏洞，该漏洞源于包含加密强度不足的漏洞。,CVE-2024-22458
Couchbase Server 安全漏洞,CNNVD-202402-2695,2024-02-29,2024-03-11,高危,其他,Couchbase Server是美国Couchbase公司的一款分布式的开源NoSQL（非关系型）数据库，它主要支持数据查询、全文检索和主动全局复制等功能。 Couchbase Server 7.2.4 版本之前存在安全漏洞，该漏洞源于可以绕过 SQL++ N1QL cURL 主机限制。,CVE-2023-49932
LangChain 代码问题漏洞,CNNVD-202403-115,2024-03-01,2024-03-11,中危,代码问题,LangChain是通过可组合性使用 LLM 构建应用程序。 LangChain 0.1.9版本存在代码问题漏洞，该漏洞源于函数load_local存在服务器请求伪造（SSRF）漏洞。,CVE-2024-2057
PHP MySQL User Signup Login System SQL注入漏洞,CNNVD-202402-1789,2024-02-21,2024-03-11,中危,SQL注入,PHP MySQL User Signup Login System是使用 HTML、PHP 和 MySQL 的登录和注册表单。 PHP MySQL User Signup Login System 1.0版本存在SQL注入漏洞，该漏洞源于文件/edit.php存在SQL注入漏洞。,CVE-2024-1702
Linux kernel 安全漏洞,CNNVD-202402-2282,2024-02-27,2024-03-11,中危,其他,Linux kernel是美国Linux基金会的开源操作系统Linux所使用的内核。 Linux kernel 存在安全漏洞，该漏洞源于对 IPv4 数据包分段时存在越界读取。,CVE-2021-46954
Schoolbox 跨站脚本漏洞,CNNVD-202403-572,2024-03-07,2024-03-11,高危,跨站脚本,Schoolbox是澳大利亚Schoolbox公司的一个在线学习平台。 Schoolbox 23.1.3之前版本存在跨站脚本漏洞，该漏洞源于新闻功能存在跨站脚本漏洞，允许经过身份验证的攻击者在受影响的用户环境中执行安全操作。,CVE-2024-28095
Forcepoint Next Generation Firewall 安全漏洞,CNNVD-202403-290,2024-03-04,2024-03-11,中危,其他,Forcepoint Next Generation Firewall（NGFW）是美国Forcepoint公司的一款下一代防火墙产品。 Forcepoint Next Generation Firewall Security Management Center 6.10.13之前版本、6.11.0至7.1.2之前版本存在安全漏洞，该漏洞源于存在反射型跨站脚本漏洞。,CVE-2023-5451
maccms10 代码问题漏洞,CNNVD-202302-121,2023-02-01,2024-03-11,高危,代码问题,maccms10是magicblack开源的一套采用 PHP+MYSQL 环境下运行的完善而强大的快速建站系统。 maccms10 2021.1000.2000版本存在代码问题漏洞，该漏洞源于其允许攻击者实现服务端请求伪造。,CVE-2022-47872
Linux kernel 安全漏洞,CNNVD-202402-2304,2024-02-27,2024-03-11,中危,其他,Linux kernel是美国Linux基金会的开源操作系统Linux所使用的内核。 Linux kernel 存在安全漏洞，该漏洞源于重构trace_clock_global()以永不阻塞。,CVE-2021-46939
Directus 安全漏洞,CNNVD-202403-043,2024-03-01,2024-03-11,中危,其他,Directus是一个实时 Api 和应用程序仪表板。用于管理 Sql 数据库内容。 Directus 10.8.3之前版本存在安全漏洞，该漏洞源于Directus版本号在编译的JS捆绑包中提供，导致未经身份验证的攻击者可以获取版本号。,CVE-2024-27296
AnythingLLM 安全漏洞,CNNVD-202402-2120,2024-02-26,2024-03-11,高危,其他,AnythingLLM是符合业务要求的文档聊天机器人。 AnythingLLM 存在安全漏洞，该漏洞源于具有默认权限的用户通过某些操作可以删除管理员上传的文档。,CVE-2024-0798
Linux kernel 安全漏洞,CNNVD-202403-195,2024-03-02,2024-03-11,中危,其他,Linux kernel是美国Linux基金会的开源操作系统Linux所使用的内核。 Linux kernel存在安全漏洞，该漏洞源于内存释放后重用。,CVE-2023-52503
MOXA EDS-4000/G4000 Series 安全漏洞,CNNVD-202402-2126,2024-02-26,2024-03-11,中危,其他,MOXA EDS-4000/G4000 Series是中国摩莎（MOXA）公司的一系列工业管理型以太网交换机。 MOXA EDS-4000/G4000 Series 3.2之前版本存在安全漏洞，该漏洞源于用户无法停用的 IP 转发功能。,CVE-2024-0387
Webkul Software Bagisto 安全漏洞,CNNVD-202402-2176,2024-02-26,2024-03-11,中危,其他,Webkul Software Bagisto是印度Webkul Software公司的一套开源的电子商务框架。 Webkul Software Bagisto v.1.5.1之前版本存在安全漏洞，该漏洞源于存在跨站请求伪造（CSRF）漏洞，允许攻击者通过特制的HTML脚本执行任意代码。,CVE-2023-36237
IBM Spectrum Virtualize 安全漏洞,CNNVD-202403-433,2024-03-05,2024-03-11,中危,其他,IBM Spectrum Virtualize是美国国际商业机器（IBM）公司的一个块存储虚拟化系统。可提高新的和现有存储基础架构的数据价值、安全性和简单性。 IBM Spectrum Virtualize 8.5版本存在安全漏洞，该漏洞源于配置为需要多重身份验证的 LDAP 用户仍然可以仅使用用户名和密码从 CIM 界面通过身份验证。,CVE-2023-25681
MAXON CINEMA 4D 安全漏洞,CNNVD-202402-1850,2024-02-22,2024-03-11,中危,其他,Maxon Cinema 4D是德国Maxon公司的一款三维绘图软件。 MAXON CINEMA 4D R2024.2.0版本存在安全漏洞，该漏洞源于允许本地攻击者通过特制的c4d_base.xdl64文件执行任意代码。,CVE-2024-25423
Stupid Simple CMS 安全漏洞,CNNVD-202403-065,2024-03-01,2024-03-11,中危,其他,Stupid Simple CMS是codelyfe个人开发者的一个内容管理系统。 Stupid Simple CMS v1.2.4及之前版本存在安全漏洞，该漏洞源于存在跨站脚本（XSS）漏洞。,CVE-2024-27558
Apple iOS 和 iPadOS 安全漏洞,CNNVD-202403-423,2024-03-05,2024-03-11,中危,其他,Apple iOS和Apple iPadOS都是美国苹果（Apple）公司的产品。Apple iOS是一套为移动设备所开发的操作系统。Apple iPadOS是一套用于iPad平板电脑的操作系统。 Apple iOS 17.4 版本和 iPadOS 17.4 版本存在安全漏洞，该漏洞源于应用程序可能能够读取敏感的位置信息。,CVE-2024-23243
WordPress Plugin Complianz 安全漏洞,CNNVD-202403-127,2024-03-02,2024-03-11,中危,其他,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress Plugin Complianz 6.5.6 版本及之前版本存在安全漏洞，该漏洞源于 class-DNSMPD.php 中的 process_delete 函数的随机数验证缺失或不正确。,CVE-2024-1592
Cellinx NVT 路径遍历漏洞,CNNVD-202302-1760,2023-02-22,2024-03-11,高危,路径遍历,Cellinx NVT IP PTZ是韩国Cellinx公司的一个摄像机设备。 Cellinx NVT v1.0.6.002b版本存在路径遍历漏洞，该漏洞源于存在本地文件泄露漏洞。,CVE-2023-23063
Linux kernel 安全漏洞,CNNVD-202402-2417,2024-02-28,2024-03-11,中危,其他,Linux kernel是美国Linux基金会的开源操作系统Linux所使用的内核。 Linux kernel 存在安全漏洞，该漏洞源于 f2fs_resize_fs() 期间的恐慌。,CVE-2021-47007
Couchbase Server 安全漏洞,CNNVD-202402-2575,2024-02-29,2024-03-11,中危,其他,Couchbase Server是美国Couchbase公司的一款分布式的开源NoSQL（非关系型）数据库，它主要支持数据查询、全文检索和主动全局复制等功能。 Couchbase Server 7.2.4之前版本存在安全漏洞，该漏洞源于在 goxdcr.log 中存在私钥泄漏问题。,CVE-2024-23302
Linux kernel 安全漏洞,CNNVD-202402-2529,2024-02-28,2024-03-11,中危,其他,Linux kernel是美国Linux基金会的开源操作系统Linux所使用的内核。 Linux kernel 存在安全漏洞。目前尚无此漏洞的相关信息，请随时关注CNNVD或厂商公告。,CVE-2021-47029
