Name,Vuln ID,Published,Modified,Severity,Vuln Type,Vuln Descript,CVE ID
WordPress plugin Advanced Access Manager 跨站脚本漏洞,CNNVD-202402-034,2024-02-01,2024-02-05,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin Advanced Access Manager 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-51674
springboot-manager 安全漏洞,CNNVD-202402-039,2024-02-01,2024-02-05,中危,其他,springboot-manager是中国liwenbin个人开发者的一个基于SpringBoot + Thymeleaf + Layui + Apache Shiro + Redis + Mybatis Plus的后台管理系统。 springboot-manager v1.6版本存在安全漏洞，该漏洞源于容易通过/sysContent/add受到跨站脚本攻击。,CVE-2024-24061
GLPI 跨站脚本漏洞,CNNVD-202402-049,2024-02-01,2024-02-19,中危,跨站脚本,GLPI是个人开发者的一款开源IT和资产管理软件。该软件提供功能全面的IT资源管理接口，你可以用它来建立数据库全面管理IT的电脑，显示器，服务器，打印机，网络设备，电话，甚至硒鼓和墨盒等。 GLPI 10.0.12之前版本存在跨站脚本漏洞，该漏洞源于报告页面包含跨站脚本漏洞，恶意 URL 可在报告页面上执行跨站脚本攻击。,CVE-2024-23645
Bref 安全漏洞,CNNVD-202402-045,2024-02-01,2024-02-05,中危,其他,Bref是Matthieu Napoli个人开发者的一个开源项目，可帮助您使用 PHP 在 AWS 上实现无服务器。 Bref 2.1.13之前版本存在安全漏洞，该漏洞源于当 Bref 与 v2 格式的 API 网关结合使用时，不处理多个值标头。,CVE-2024-24753
WordPress plugin RegistrationMagic 跨站脚本漏洞,CNNVD-202402-021,2024-02-01,2024-02-07,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin RegistrationMagic 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-51509
WordPress plugin WPCS 跨站脚本漏洞,CNNVD-202402-031,2024-02-01,2024-02-07,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin WPCS 存在安全漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-51506
GLPI 注入漏洞,CNNVD-202402-052,2024-02-01,2024-02-19,高危,注入,GLPI是个人开发者的一款开源IT和资产管理软件。该软件提供功能全面的IT资源管理接口，你可以用它来建立数据库全面管理IT的电脑，显示器，服务器，打印机，网络设备，电话，甚至硒鼓和墨盒等。 GLPI 0.70版本及之后版本存在注入漏洞，该漏洞源于当针对 LDAP 进行身份验证时，身份验证表单可用于执行 LDAP 注入。,CVE-2023-51446
ConnectWise ScreenConnect 安全漏洞,CNNVD-202402-078,2024-02-01,2024-02-22,高危,其他,ConnectWise ScreenConnect是ConnectWise公司的一种自托管远程桌面软件应用程序。 ConnectWise ScreenConnect 23.8.4及之前版本存在安全漏洞，该漏洞源于允许中间人攻击者通过精心设计的消息实现远程代码执行。,CVE-2023-47257
WordPress plugin Infogram 跨站脚本漏洞,CNNVD-202402-014,2024-02-01,2024-02-07,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin Infogram 存在安全漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-52191
OpenEXR 缓冲区错误漏洞,CNNVD-202402-071,2024-02-01,2024-02-27,超危,缓冲区错误,OpenEXR是一种高动态范围图像（HDR）文件格式的开放标准。 OpenEXR 3.2.1及之前版本存在缓冲区错误漏洞，该漏洞源于无法验证包含深度扫描线数据的扫描线样本数量，容易受到基于堆的缓冲区溢出漏洞影响。,CVE-2023-5841
Bref 安全漏洞,CNNVD-202402-044,2024-02-01,2024-02-05,低危,其他,Bref是Matthieu Napoli个人开发者的一个开源项目，可帮助您使用 PHP 在 AWS 上实现无服务器。 Bref 2.1.13之前版本存在安全漏洞，该漏洞源于Bref和Event-Driven函数对正文的解析不一致。,CVE-2024-24754
