Name,Vuln ID,Published,Modified,Severity,Vuln Type,Vuln Descript,CVE ID
WordPress Plugin WP TripAdvisor Review Slider 安全漏洞,CNNVD-202401-007,2024-01-01,2024-01-15,中危,其他,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress Plugin WP TripAdvisor Review Slider 11.9 版本之前存在安全漏洞，该漏洞源于不会清理和转义其某些设置，可能导致存储型跨站脚本攻击。,CVE-2023-6037
WordPress Plugin Popup Builder 安全漏洞,CNNVD-202401-008,2024-01-01,2024-01-15,中危,其他,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress Plugin Popup Builder 4.2.3 版本之前存在安全漏洞，该漏洞源于不会阻止简单访问者更新现有的弹出窗口，并在其中注入 JavaScript，这可能会导致存储型跨站脚本。,CVE-2023-6000
WordPress Plugin Download Manager 安全漏洞,CNNVD-202401-004,2024-01-01,2024-01-15,高危,其他,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress Plugin Download Manager 3.2.83 版本之前存在安全漏洞，该漏洞源于不保护文件下载的密码，一旦收到无效密码就会泄露。,CVE-2023-6421
Rengine 安全漏洞,CNNVD-202401-012,2024-01-01,2024-01-15,高危,其他,Rengine是一个自动化侦察框架，用于在 Web 应用程序的渗透测试期间收集信息。 reNgine 2.0.2及之前版本存在安全漏洞，该漏洞源于如果攻击者拥有有效的会话 ID，则允许攻击者通过 subprocess.check_output 以 root 身份执行操作系统命令。,CVE-2023-50094
WordPress Plugin PayHere Payment Gateway 安全漏洞,CNNVD-202401-006,2024-01-01,2024-01-15,高危,其他,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress Plugin PayHere Payment Gateway 2.2.12 版本之前存在安全漏洞，该漏洞源于当事务发生时，会自动创建包含敏感信息的可公开访问的日志文件。,CVE-2023-6064
STMicroelectronics STSAFE-A1xx 安全漏洞,CNNVD-202401-014,2024-01-01,2024-01-15,高危,其他,STMicroelectronics STSAFE-A1xx是瑞士意法半导体（STMicroelectronics）公司的一个中间件。 STMicroelectronics STSAFE-A1xx 3.3.7 之前版本存在安全漏洞，该漏洞源于X-CUBE-SAFEA1 软件包中的 StSafeA_ReceiveBytes 存在缓冲区溢出，如果攻击者能够读取和写入 I2C 总线，则可以执行 MCU 代码。,CVE-2023-50096
WordPress Plugin Html5 Video Player 安全漏洞,CNNVD-202401-005,2024-01-01,2024-01-15,中危,其他,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress Plugin Html5 Video Player 2.5.19 版本之前存在安全漏洞，该漏洞源于不会清理和转义其某些播放器设置，再加上插件周围缺少功能检查，可能导致存储型跨站脚本攻击。,CVE-2023-6485
FlyCms 安全漏洞,CNNVD-202401-001,2024-01-01,2024-01-08,中危,其他,sunkaifei FlyCms是sunkaifei开源的一个应用程序。一个类似知乎以问答为基础的完全开源的JAVA语言开发的社交网络建站程序。 FlyCms v1.0版本存在安全漏洞，该漏洞源于允许通过权限管理功能进行跨站脚本(XSS)攻击。,CVE-2024-21732
WordPress Plugin affiliate-toolkit 安全漏洞,CNNVD-202401-009,2024-01-01,2024-01-15,超危,其他,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress Plugin affiliate-toolkit 3.4.3 版本之前存在安全漏洞，该漏洞源于缺乏对某些url请求的授权和身份验证，可能导致服务器请求伪造问题。,CVE-2023-5877
WordPress Plugin Backup Migration Staging 安全漏洞,CNNVD-202401-002,2024-01-01,2024-01-15,高危,其他,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress Plugin Backup Migration Staging 1.3.6之前版版本存在安全漏洞，该漏洞源于将正在进行的备份信息存储在易于查找、可公开访问的文件中，可能允许攻击者监控这些文件，从而从站点的备份中获取敏感信息。,CVE-2023-6271
