text,label
Cisco IOS 12.0 and other versions can be crashed by malicious UDP packets to the syslog port.,label_0
Apache httpd cookie buffer overflow for versions 1.1.1 and earlier.,label_1
"The debug command in Sendmail is enabled, allowing attackers to execute commands as root.",label_1
Sendmail decode alias can be used to overwrite sensitive files.,label_1
Buffer overflow in SMTP HELO command in Sendmail allows a remote attacker to hide activities.,label_1
Buffer overflow in Apache 1.2.5 and earlier allows a remote attacker to cause a denial of service with a large number of GET requests containing a large number of / characters.,label_1
Sendmail allows local users to write to a file and gain group permissions via a .forward or :include: file.,label_1
Local users can start Sendmail in daemon mode and gain root privileges.,label_1
Buffer overflow and denial of service in Sendmail 8.7.5 and earlier through GECOS field gives root access to local users.,label_1
"Sendmail WIZ command enabled, allowing root access.",label_1
"Attackers can crash a Cisco IOS router or device, provided they can get to an interactive prompt (such as a login).  This applies to some IOS 9.x, 10.x, and 11.x releases.",label_0
Some classic Cisco IOS devices have a vulnerability in the PPP CHAP authentication to establish unauthorized PPP connections.,label_0
"In Cisco IOS 10.3, with the tacacs-ds or tacacs keyword, an extended IP access control list could bypass filtering.",label_0
"The ""established"" keyword in some Cisco IOS software allowed an attacker to bypass filtering.",label_0
"In older versions of Sendmail, an attacker could use a pipe character to execute root commands.",label_1
"In Sendmail, attackers can gain root privileges via SMTP by specifying an improper ""mail from"" address and an invalid ""rcpt to"" address that would cause the mail to bounce to a program.",label_1
"Sendmail 8.6.9 allows remote attackers to execute root commands, using ident.",label_1
Denial of service in Sendmail 8.6.11 and 8.6.12.,label_1
MIME buffer overflow in Sendmail 8.8.0 and 8.8.1 gives root access.,label_1
Denial of service in Cisco IOS web server allows attackers to reboot the router using a long URL.,label_0
ScriptAlias directory in NCSA and Apache httpd allowed attackers to read CGI programs.,label_1
The Apache web server for Win32 may provide access to restricted files when a . (dot) is appended to a requested URL.,label_1
"In Sun Solaris and SunOS, man and catman contain vulnerabilities that allow overwriting arbitrary files.",label_1
Remote attackers can cause a denial of service in Sendmail 8.8.x and 8.9.2 by sending messages with a large number of headers.,label_1
"Denial of service in SMTP applications such as Sendmail, when a remote attacker (e.g. spammer) uses many ""RCPT TO"" commands in the same connection.",label_1
Cisco Catalyst LAN switches running Catalyst 5000 supervisor software allows remote attackers to perform a denial of service by forcing the supervisor module to reload.,label_0
"IIS 4.0 and Apache log HTTP request methods, regardless of how long they are, allowing a remote attacker to hide the URL they really request.",label_1
A Sendmail alias allows input to be piped to a program.,label_1
"A system is running a version of software that was replaced with a Trojan Horse at one of its distribution points, such as (1) TCP Wrappers 7.6, (2) util-linux 2.9g, (3) wuarchive ftpd (wuftpd) 2.2 and 2.1f, (4) IRC client (ircII) ircII 2.2.9, (5) OpenSSH 3.4p1, or (6) Sendmail 8.12.6.",label_1
"A default configuration of Apache on Debian GNU/Linux sets the ServerRoot to /usr/doc, which allows remote users to read documentation files for the entire server.",label_1
Denial of service in Sendmail 8.8.6 in HPUX.,label_1
Insecure directory permissions in RPM distribution for PostgreSQL allows local users to gain privileges by reading a plaintext password file.,label_1
Apache allows remote attackers to conduct a denial of service via a large number of MIME headers.,label_1
"Sendmail allows local users to reinitialize the aliases database via the newaliases command, then cause a denial of service by interrupting Sendmail.",label_1
