Keyword,CVE Count
WordPress ,7030
Google Chrome,3036
Apache ,2256
 GitHub ,1751
OS X,1746
Mozilla Firefox,1292
Windows 7,1163
 Jenkins ,1019
Adobe Flash Player,949
firefox ,934
Microsoft Office,711
EMC,697
ImageMagick ,637
Oracle Database,614
VMware ,607
Wireshark ,603
Moodle ,474
Windows 10,458
windows xp,408
Apple OS X,399
Sun Solaris,385
VirtualBox ,347
 Xen ,312
OpenStack ,287
Microsoft Exchange,221
Microsoft Excel,218
 Node.js ,212
Red Hat Enterprise,211
Visual Studio,210
JBoss ,205
Adobe Photoshop,152
Windows 8,146
Django ,142
windows server,137
Microsoft Word,131
Ubuntu ,131
 AWS ,130
 Eclipse ,123
Bentley View,112
 Zoom ,110
Ruby on Rails,107
 Azure ,103
Adobe Illustrator,101
 Unity ,96
 Ansible ,93
Grafana ,84
Sendmail ,80
 Redis ,70
Fedora ,69
windows vista,63
 Elasticsearch ,62
baserCMS ,57
 Laravel ,48
 React ,42
 Skype ,41
 Bitbucket ,38
GIMP ,35
 Blender ,34
Dell PowerEdge,30
 RabbitMQ ,30
OpenCV ,26
nvidia geforce experience,26
Eucalyptus ,25
Kirby ,24
Windows Desktop,23
Metasploit ,21
Pydio Cells,20
XAMPP ,19
 Slack ,19
Angular ,18
Chromium ,16
Unreal Engine,15
 Terraform ,14
 Flask ,14
Windows 11,13
Windows Bluetooth Driver,12
Brave Browser,9
Google Maps,8
IBM System x,8
nvidia control panel,7
Microsoft OneNote,6
Kallithea,6
Google Cloud Platform,5
 Inkscape ,5
Jupyter Notebooks,4
Google Earth,4
OpenNebula ,3
HPE ProLiant,3
Huawei FusionServer,3
nvidia geforce,3
nvidia graphics driver,3
xen hypervisor,2
Minio Console,2
Dell XPS 13,2
 Trello ,2
sublime text,2
HangFire ,1
Zydis ,1
Opera Mini,1
Google Docs,1
 Vue.js ,1
Travis CI,1
